StudentID,grades,sex
959,34,F
925,54,F
891,55,F
936,60,F
17,60,F
924,65,F
914,65,F
926,67,F
7,71,F
927,78,F
940,84,F
890,88,F
894,96,F
889,0,M
920,0,M
916,0,M
903,0,M
898,0,M
962,0,M
861,2,M
937,5,M
873,8,M
930,8,M
896,9,M
923,11,M
21,13,M
961,16,M
906,27,M
939,29,M
921,30,M
947,40,M
893,43,M
0,43,M
946,44,M
900,46,M
942,46,M
934,47,M
907,51,M
951,52,M
901,54,M
928,54,M
953,54,M
892,60,M
910,60,M
22,60,M
4,60,M
917,60,M
948,60,M
938,60,M
944,60,M
18,60,M
933,60,M
919,60,M
905,62,M
950,62,M
12,62,M
935,62,M
960,63,M
13,64,M
16,65,M
895,66,M
911,66,M
945,66,M
963,68,M
922,68,M
957,69,M
956,70,M
958,70,M
24,70,M
3,70,M
2,71,M
11,71,M
904,74,M
931,74,M
952,74,M
954,75,M
918,76,M
913,77,M
10,77,M
902,79,M
915,80,M
897,80,M
955,81,M
932,82,M
941,82,M
899,83,M
929,83,M
943,83,M
912,87,M
909,88,M
949,88,M
870,88,M
908,91,M
