StudentID,grades,sex
503,0,F
471,0,F
474,7,F
497,8,F
117,9,F
373,54,F
491,60,F
468,61,F
486,66,F
477,82,F
510,0,M
501,0,M
504,0,M
509,0,M
483,0,M
482,0,M
493,15,M
119,21,M
484,33,M
499,41,M
475,42,M
476,50,M
494,50,M
492,50,M
500,60,M
489,60,M
505,60,M
478,60,M
473,60,M
506,64,M
469,65,M
508,66,M
386,66,M
496,66,M
507,69,M
470,70,M
472,71,M
378,72,M
498,74,M
369,74,M
479,75,M
495,77,M
481,77,M
485,78,M
511,78,M
488,79,M
502,88,M
480,88,M
487,92,M
490,93,M
