StudentID,grades,sex
634,37,F
647,41,F
642,49,F
373,60,F
628,60,F
354,60,F
356,60,F
646,63,F
635,68,F
374,80,F
637,12,M
644,13,M
639,14,M
631,22,M
641,23,M
572,24,M
640,25,M
627,26,M
633,31,M
358,33,M
570,33,M
384,34,M
648,37,M
632,44,M
378,49,M
390,51,M
638,60,M
636,60,M
361,60,M
360,60,M
371,60,M
630,60,M
626,60,M
355,60,M
649,60,M
394,60,M
645,60,M
395,60,M
393,60,M
380,60,M
379,60,M
376,60,M
375,60,M
391,60,M
643,60,M
385,60,M
388,60,M
386,60,M
366,61,M
397,63,M
382,64,M
377,64,M
392,66,M
369,70,M
629,70,M
364,71,M
383,73,M
367,75,M
357,100,M
