StudentID,Sex,Date,Subject,Grade,Attendence,pred_percep,pred_LR,pred_RR,pred_KRR,pred_elastic_net,pred_tree,pred_forest,pred_mlpr,pred_svr_lin,pred_svr_rbf,pred_svr_sig
173,M,2009-01,inf63,38,4,25.0,53.67168755805131,53.6716332013884,3.5468026478483807,53.62369605569731,58.27142857142857,56.44852243946177,50.604480589588526,57.183333333333735,59.8993184069103,45.10000038265308
173,M,2009-02,inf63,97,6,25.0,51.129519462119234,51.12947922351502,5.320203971787123,51.09399279499857,48.225352112676056,46.671599948786685,47.97221242510229,54.26666666666654,44.1000640694961,45.10527802869199
312,M,2010-02,inf63,45,4,25.0,53.67168755805131,53.6716332013884,3.5468026478483807,53.62369605569731,58.27142857142857,56.44852243946177,50.604480589588526,57.183333333333735,59.8993184069103,45.10000038265308
889,M,2009-02,gem03,0,0,25.0,58.75602374991547,58.75594115713518,0.0,58.683102577094786,60.04054054054054,59.86415761642534,47.2817424395915,63.01666666666699,59.90010943960279,60.1
890,F,2009-02,gem03,88,3,25.0,54.94277160601735,54.9427101903251,2.6601019858935615,54.88854768604668,58.27142857142857,61.69860898905016,51.54688260712275,58.641666666666765,58.95667109358318,45.06524870304791
405,F,2017-02,ggi017,3,34,0.0,15.539166119070103,15.539323533287579,30.14782250719145,15.678147145216244,7.032258064516129,8.778608613608615,11.155107855020024,13.433333333334872,24.36263085841478,45.10537633895874
304,M,2010-02,inf63,41,0,25.0,58.75602374991547,58.75594115713518,0.0,58.683102577094786,60.04054054054054,59.86415761642534,47.2817424395915,63.01666666666699,59.90010943960279,60.1
595,M,2013-02,gsi005,41,0,25.0,58.75602374991547,58.75594115713518,0.0,58.683102577094786,60.04054054054054,59.86415761642534,47.2817424395915,63.01666666666699,59.90010943960279,60.1
595,M,2013-01,gsi005,20,2,25.0,56.21385565398339,56.21378717926179,1.7734013239241904,56.15339931639605,56.38235294117647,54.535605467393324,50.16244726651125,60.100000000000364,59.900109327067625,44.78656902079202
80,M,2011-01,gsi014,22,8,25.0,48.58735136618715,48.58732524564163,7.0936052956967615,48.56428953429983,49.6530612244898,49.78096884225515,45.33994426061607,51.35000000000048,45.29700967512519,45.105374538395
80,M,2010-02,inf63,40,8,25.0,48.58735136618715,48.58732524564163,7.0936052956967615,48.56428953429983,49.6530612244898,49.78096884225515,45.33994426061607,51.35000000000048,45.29700967512519,45.105374538395
80,M,2011-02,gsi014,77,14,0.0,40.96084707839091,40.960863312021466,12.41380926736747,40.97517975220362,39.921052631578945,41.141454122702335,37.4431397671574,42.60000000000048,33.900143978606344,45.10537633894768
520,M,2015-02,gsi037,0,60,0.0,-17.50901912804693,-17.508678179066465,53.20203971758019,-17.207995243867344,0.0,0.0,-1.0203596968933368,-24.483333333333007,29.190217568188874,45.10537633895874
249,M,2011-01,facom49010,89,7,25.0,49.85843541415319,49.85840223457832,6.206904633683735,49.8291411646492,70.22222222222223,65.86896214896215,46.65607834285918,52.808333333333735,45.37729456290434,45.105363034446704
315,M,2010-02,inf63,60,2,25.0,56.21385565398339,56.21378717926179,1.7734013239241904,56.15339931639605,56.38235294117647,54.535605467393324,50.16244726651125,60.100000000000364,59.900109327067625,44.78656902079202
247,F,2011-01,facom49010,63,3,25.0,54.94277160601735,54.9427101903251,2.6601019858935615,54.88854768604668,58.27142857142857,61.69860898905016,51.54688260712275,58.641666666666765,58.95667109358318,45.06524870304791
245,M,2011-01,facom49010,0,37,0.0,11.725913975171984,11.726092566477497,32.80792449170258,11.883592254168136,7.032258064516129,2.242857142857143,9.695753041634621,9.058333333333053,22.80114251350922,45.10537633895874
