StudentID,Sex,Date,Subject,Grade,Attendence,pred_percep,pred_LR,pred_RR,pred_KRR,pred_elastic_net,pred_tree,pred_forest,pred_mlpr,pred_svr_lin,pred_svr_rbf,pred_svr_sig
173,M,2009-01,3,38,4,25.0,54.56270083800535,54.562559171226084,18.961804661037604,54.42798430460829,59.25,58.86051259638769,50.88210611681513,58.44526180375297,59.89977622774024,59.006573344424055
173,M,2009-02,3,97,6,25.0,52.04002006444751,52.039890488844804,18.72654982009408,51.915819209046276,51.25423728813559,53.6344807969808,48.27534711570146,55.536200224922624,54.19659539122146,59.04386202883913
312,M,2010-02,3,45,4,25.0,54.56270083800535,54.562559171226084,18.961804661037604,54.42798430460829,59.25,58.86051259638769,50.88210611681513,58.44526180375297,59.89977622774024,59.006573344424055
889,M,2009-02,0,0,0,61.0,62.35117997524531,62.35074404618712,0.0,61.927863274385444,59.25,58.50265669211761,45.24780828226829,66.44493917092225,59.90014746044741,60.099999999999994
890,F,2009-02,0,88,3,25.0,58.56715881490855,58.56674102261519,-0.35288226116063015,58.15961563104242,59.25,59.408769651401236,48.655015544039024,62.08134680267577,59.77498640203913,-54.305284913840055
405,F,2017-02,5,3,34,0.0,14.893744174554925,14.893963928707862,28.38785827747779,15.095142018742656,7.148148148148148,1.335,14.990892736553159,13.354968648282949,38.870658431426385,60.26736976451539
304,M,2010-02,3,41,0,61.0,59.60806238512102,59.60789653598865,19.432314342697282,59.45231449573232,59.25,55.89472806661937,55.82808606473342,64.2633849614153,59.90025328872662,-8.3858834589102
595,M,2013-02,9,41,0,61.0,54.12182720487246,54.12220151559171,58.29694302807911,54.501216938426055,49.91111111111111,51.50723808297248,57.66677121648774,59.900276542401485,54.89978222676182,-6.548791627682817
595,M,2013-01,9,20,2,61.0,51.59914643131462,51.59953283321043,58.06168818719743,51.98905184286404,53.09090909090909,58.05116824257614,55.12191723736759,56.99121496357046,56.66524674560743,59.81826362251651
80,M,2011-01,1,22,8,25.0,51.34608435097253,51.34578681326249,5.536418750976736,51.05401996591968,51.25423728813559,51.66489607614608,45.123893066651924,54.081508119095616,50.99049164961313,46.913831732879586
80,M,2010-02,3,40,8,25.0,49.51733929088967,49.51722180646352,18.49129497945978,49.40365411348426,51.25423728813559,44.833331668331674,45.66858811458777,52.62713864609057,47.63443017529017,59.04825778400417
80,M,2011-02,1,77,14,0.0,43.77804203029902,43.77778076611865,4.830654228499043,43.51752467923363,55.888888888888886,47.95130952380952,38.380783540233466,45.3543233826031,42.91424597437136,46.91462352813701
520,M,2015-02,7,0,60,0.0,-19.729850941779823,-19.7292939490478,38.284421574964654,-19.213370075998967,0.0,0.0,-9.665480099637879,-25.917201349526266,41.16346673029209,60.430609410652146
249,M,2011-01,4,89,7,25.0,49.864307147627166,49.864273644254666,25.086360514134867,49.83455373504756,51.25423728813559,87.0,47.2450066151665,53.354484699004416,46.56075456652179,59.940382744810194
315,M,2010-02,3,60,2,61.0,57.085381611563186,57.085227853607364,19.197059501877447,56.9401494001703,59.25,47.47478571769659,53.4888651179288,61.35432338258428,55.79432534991456,58.40876503713451
247,F,2011-01,4,63,3,25.0,54.90966869474284,54.90961100901724,25.55687019569814,54.858883926171586,71.54901960784314,69.5547619047619,52.458524617393856,59.17260785666659,52.49518521738562,59.79911630965859
245,M,2011-01,4,0,37,0.0,12.024095544259595,12.024243408535426,21.557537901797332,12.15207730161734,7.148148148148148,2.3,13.582417886305457,9.718561016538871,37.232923140551605,59.94222051526398
232,M,2011-01,4,97,0,61.0,58.6936898550796,58.69361403258916,25.909752456906972,58.6271315695146,71.54901960784314,80.42958365164246,56.27170376448653,63.5362002249131,58.297626265922396,-7.255892507087296
313,M,2010-02,3,0,22,0.0,31.85857387598481,31.858541029794537,16.844511093513574,31.818498444550155,17.114285714285714,6.0,28.717492123667846,32.26370759427212,36.78922421037768,59.04893221050969
233,M,2011-01,4,93,0,61.0,58.6936898550796,58.69361403258916,25.909752456906972,58.6271315695146,71.54901960784314,80.42958365164246,56.27170376448653,63.5362002249131,58.297626265922396,-7.255892507087296
253,M,2011-01,4,82,0,61.0,58.6936898550796,58.69361403258916,25.909752456906972,58.6271315695146,71.54901960784314,80.42958365164246,56.27170376448653,63.5362002249131,58.297626265922396,-7.255892507087296
252,M,2011-01,4,96,4,25.0,53.64832830796392,53.64827666782659,25.439242775260936,53.60280137839057,71.54901960784314,62.94050505050505,51.15514511683702,57.718077067251244,54.58037679976533,59.89999923945393
1012,M,2013-02,2,9,36,0.0,15.114180991121373,15.114142756525048,8.720289094053442,15.058525701833766,3.36,5.775,17.0574490025118,12.627461278959373,37.766407319063696,56.47047274384778
237,M,2011-01,4,90,1,61.0,57.43234946830068,57.43227969139852,25.792125036496145,57.3710490217336,71.54901960784314,78.42341269841269,55.04279394377527,62.08166943549756,55.641297781616494,55.69711726495861
236,M,2011-01,4,70,1,61.0,57.43234946830068,57.43227969139852,25.792125036496145,57.3710490217336,71.54901960784314,78.42341269841269,55.04279394377527,62.08166943549756,55.641297781616494,55.69711726495861
309,M,2010-02,3,60,2,61.0,57.085381611563186,57.085227853607364,19.197059501877447,56.9401494001703,59.25,47.47478571769659,53.4888651179288,61.35432338258428,55.79432534991456,58.40876503713451
795,M,2014-01,2,70,6,25.0,52.95439259448894,52.95417299224429,12.249111706005351,52.74100213526398,51.25423728813559,49.90869330188216,48.002308115679554,56.26338496142469,55.04364619034443,56.46531625702455
795,M,2013-01,9,74,0,61.0,54.12182720487246,54.12220151559171,58.29694302807911,54.501216938426055,49.91111111111111,51.50723808297248,57.66677121648774,59.900276542401485,54.89978222676182,-6.548791627682817
308,M,2010-02,3,60,4,25.0,54.56270083800535,54.562559171226084,18.961804661037604,54.42798430460829,59.25,58.86051259638769,50.88210611681513,58.44526180375297,59.89977622774024,59.006573344424055
829,M,2013-01,9,6,30,0.0,16.28161560150489,16.282171279872472,54.768120415945305,16.818740504995837,7.148148148148148,11.379999999999999,18.632473102468683,16.26435285993378,37.10466349004868,60.45268831518343
703,M,2014-02,2,60,4,25.0,55.477073368046774,55.476841674625575,12.484366546814272,55.253167230825994,59.25,58.79305272851635,50.609067116793234,59.172446540255606,59.90001516517886,56.427272121123124
703,M,2013-01,9,60,2,61.0,51.59914643131462,51.59953283321043,58.06168818719743,51.98905184286404,53.09090909090909,58.05116824257614,55.12191723736759,56.99121496357046,56.66524674560743,59.81826362251651
226,M,2011-01,4,40,2,61.0,56.17100908152176,56.17094535020788,25.674497616108056,56.11496647395259,71.54901960784314,60.02370129870129,53.761904117950685,60.62713864608182,51.29890455865295,59.3060842836585
225,M,2011-01,4,75,0,61.0,58.6936898550796,58.69361403258916,25.909752456906972,58.6271315695146,71.54901960784314,80.42958365164246,56.27170376448653,63.5362002249131,58.297626265922396,-7.255892507087296
224,M,2011-01,4,84,0,61.0,58.6936898550796,58.69361403258916,25.909752456906972,58.6271315695146,71.54901960784314,80.42958365164246,56.27170376448653,63.5362002249131,58.297626265922396,-7.255892507087296
339,M,2011-02,1,40,6,25.0,53.86876512453037,53.86845549564378,5.771673591800209,53.56618506148169,51.25423728813559,45.35674698108909,47.72926911565767,56.99056969792676,50.09998817079286,46.908650320583284
