StudentID,grades,sex
176,0,F
51,6,F
276,10,F
41,15,F
49,17,F
298,25,F
48,28,F
27,28,F
53,30,F
286,38,F
314,40,F
305,42,F
61,46,F
60,48,F
52,49,F
266,60,F
275,60,F
301,67,F
267,70,F
313,0,M
289,0,M
279,0,M
300,1,M
45,2,M
31,3,M
34,3,M
56,3,M
278,6,M
75,7,M
64,10,M
29,12,M
193,13,M
302,15,M
57,16,M
259,23,M
25,28,M
295,28,M
46,31,M
258,31,M
261,34,M
292,37,M
274,38,M
80,40,M
304,41,M
272,41,M
296,41,M
291,41,M
280,42,M
312,45,M
66,46,M
297,47,M
42,51,M
315,60,M
309,60,M
308,60,M
310,60,M
269,60,M
282,60,M
293,60,M
260,60,M
153,60,M
284,60,M
138,60,M
271,60,M
262,60,M
307,60,M
311,60,M
288,60,M
303,60,M
299,60,M
257,61,M
287,64,M
316,64,M
273,65,M
268,66,M
189,67,M
290,69,M
184,70,M
265,72,M
277,73,M
283,75,M
306,78,M
285,78,M
264,82,M
281,83,M
270,84,M
317,85,M
294,86,M
263,92,M
