StudentID,grades,sex
587,27,F
593,0,F
601,2,F
613,0,F
595,41,M
616,29,M
586,30,M
603,30,M
614,0,M
609,0,M
570,27,M
572,10,M
592,10,M
623,60,M
604,15,M
606,0,M
610,5,M
599,6,M
571,36,M
608,1,M
577,68,M
600,68,M
622,28,M
605,0,M
624,0,M
598,3,M
607,17,M
588,82,M
594,11,M
621,0,M
619,2,M
574,19,M
615,0,M
580,0,M
589,0,M
479,41,M
576,60,M
581,15,M
617,0,M
590,6,M
620,1,M
575,35,M
529,1,M
482,0,M
124,24,M
625,0,M
118,0,M
602,0,M
112,2,M
583,60,M
597,1,M
612,5,M
578,3,M
579,60,M
573,1,M
596,26,M
611,60,M
618,42,M
585,14,M
584,11,M
582,46,M
591,12,M
