StudentID,grades,sex
832,29,F
836,50,F
816,47,F
819,49,F
835,66,F
808,63,F
822,38,F
827,56,F
685,25,F
692,18,F
701,60,F
595,20,M
795,74,M
829,6,M
703,60,M
498,60,M
818,67,M
500,60,M
840,0,M
824,60,M
837,36,M
805,70,M
616,40,M
807,71,M
702,60,M
800,60,M
510,38,M
586,36,M
794,73,M
825,60,M
844,29,M
705,60,M
831,7,M
704,63,M
785,38,M
796,84,M
826,3,M
802,69,M
838,67,M
787,63,M
797,80,M
789,44,M
806,75,M
833,47,M
821,56,M
791,72,M
603,33,M
614,0,M
830,49,M
828,26,M
792,79,M
696,60,M
834,28,M
820,0,M
817,0,M
793,80,M
699,66,M
843,60,M
784,26,M
813,60,M
786,60,M
801,35,M
782,69,M
798,93,M
842,44,M
490,60,M
803,76,M
841,23,M
809,61,M
839,0,M
823,30,M
658,40,M
660,29,M
652,41,M
