StudentID,grades,sex
352,0,F
389,0,F
373,5,F
387,8,F
363,18,F
354,53,F
331,60,F
356,62,F
374,77,F
322,0,M
357,0,M
351,1,M
381,5,M
370,8,M
333,8,M
84,10,M
369,15,M
386,16,M
325,18,M
371,19,M
391,19,M
368,20,M
360,22,M
378,24,M
362,25,M
350,25,M
365,27,M
358,28,M
349,28,M
379,31,M
388,31,M
393,34,M
380,34,M
376,35,M
390,35,M
382,46,M
353,48,M
395,50,M
361,60,M
367,60,M
375,60,M
384,60,M
396,60,M
372,60,M
397,61,M
392,63,M
366,72,M
383,76,M
345,76,M
385,88,M
394,91,M
359,94,M
355,95,M
364,99,M
377,100,M
