StudentID,grades,sex
327,37,F
67,52,F
27,60,F
51,60,F
314,61,F
319,63,F
298,68,F
338,72,F
337,80,F
49,84,F
331,85,F
61,91,F
38,11,M
71,16,M
45,18,M
29,22,M
322,22,M
324,28,M
345,29,M
326,33,M
341,38,M
339,40,M
348,42,M
335,44,M
325,46,M
349,46,M
333,46,M
336,53,M
330,55,M
31,60,M
63,60,M
347,60,M
40,60,M
343,60,M
344,60,M
75,60,M
321,60,M
328,60,M
320,61,M
28,64,M
68,65,M
42,66,M
291,66,M
332,70,M
329,72,M
342,74,M
340,74,M
323,74,M
58,76,M
80,77,M
346,79,M
334,84,M
30,88,M
318,90,M
